idTag,libelle,description
1,Tournoi,"On aime la competition"
2,Gastronomie,"On aime manger"
3,Ambiance,"On aime quand il y a de l'ambiance"
4,Atelier,"On aime quand il y a des ateliers"
5,Film,"On aime regarder des films"
6,Formation,"On aime apprendre de nouvelles choses"
7,Cinema,"On aime aller au cinema"
8,Musique,"On aime la musique"
9,Solidarite,"On est solidaire ici"
10,Detente,"On aime quand c'est chill"
11,Festival,"On aime la fete"
12,Loisir,"On aime le loisir"
13,Finance,"On aime l'argent"
14,Soiree,"On aime sortir le soir"
15,Aventure,"On veut devenir Indiana Jones"
16,Sport,"On mange du sport"
